lID,road,neighborhood,npu
2600,Alice Street Southwest,Mechanicsville,V
2601,Shore Drive Southwest,Cascade Heights,I
2602,Pryor Street,Mechanicsville,V
2603,Mathieson Drive Northeast,Buckhead Forest,B
2604,Colmer Avenue Southeast,Edgewood,O
2605,Benjamin E Mays Drive Southwest,Mays,H
2606,Ralph McGill Boulevard,Poncey-Highland,N
2607,Crumley Street Southwest,Mechanicsville,V
2608,Seaboard Avenue Northeast,Reynoldstown,N
2609,Iswald Street Southeast,Cabbagetown,N
2610,Dale Lane Southwest,Meadowbrook Forest,P
2611,Funston Street Southeast,Benteen Park,W
2612,Lee Street Southwest,Fort McPherson,S
2613,Fairlane Drive Northwest,Fairburn Heights,H
2614,Hyde Manor Drive Northwest,Hanover West,C
2615,Eisenhower Road Southeast,South River Gardens,Z
2616,Gaskill Street Southeast,Cabbagetown,N
2617,Peachtree Circle Northeast,Midtown,E
2618,Stephens Street Southwest,Pittsburgh,V
2619,Argule Lane Northwest,Rockdale,G
2620,Beechwood Drive Northwest,Paces,A
2621,Paces Ridge Northwest,Pleasant Hill,A
2622,Devonshire Place Northwest,Westminster/Milmar,C
2623,High Falls Court Southwest,Cascade Heights,I
2624,Abner Terrace Northwest,Scotts Crossing,G
2625,Warlick Place Northeast,Kirkwood,O
2626,Wallace Drive Southwest,Glenrose Heights,Z
2627,Mount Gilead Place Southwest,Southwest,R
2628,Woodmere Square Northwest,Cross Creek,C
2629,Lake Valley Road Northwest,Oakcliff,H
2630,Bridgeport Drive Northwest,Lincoln Homes,G
2631,James Wendell George Parkway,Perkerson,X
2632,Laurel Forest Circle Northeast,East Chastain Park,B
2633,Lethea Street Southeast,Lakewood Heights,Y
2634,Ellsworth Drive Northwest,Blandtown,D
2635,New Street Northeast,Edgewood,O
2636,Hyacinth Avenue Northwest,Dixie Hills,J
2637,Beecher Street Southwest,Westview,T
2638,I 75,Loring Heights,E
2639,Ozone Street Southwest,Atlanta University Center,T
2640,Crestwell Circle,Mays,H
2641,Renfrew Court Southwest,Baker Hills,H
2642,Mobley Drive Southeast,Browns Mill Park,Z
2643,Alta Place Northwest,Grove Park,J
2644,Williams Mill Road Northeast,Poncey-Highland,N
2645,Milledge Avenue Southeast,Grant Park,W
2646,Barge Road Southwest,Mellwood,P
2647,Wells Drive Southwest,Campbellton Road,R
2648,Manor Court Southwest,Fairburn Mays,H
2649,Yonah Drive Northeast,Ansley Park,E
2650,Spain Place Northwest,Bankhead,K
2651,Mount Paran Road Northwest,Mt. Paran/Northside,A
2652,Wyland Drive Southwest,Oakland City,S
2653,Ajax Drive Northwest,Carver Hills,G
2654,Washington Street Southwest,Downtown,M
2655,Desoto Street Northwest,Washington Park,K
2656,Merritts Avenue Northeast,Old Fourth Ward,M
2657,Windsor Drive Southwest,Southwest,R
2658,Cativo Drive Southwest,Peyton Forest,I
2659,Rosedale Avenue Southeast,Grant Park,W
2660,Racine Street Southwest,Mozley Park,K
2661,Eppington Drive Northwest,Chastain Park,A
2662,North Olympian Way Southwest,Westview,T
2663,Dimmock Street Southwest,Oakland City,S
2664,Honour Avenue Northwest,South Tuxedo Park,B
2665,Hemphill Avenue Northwest,Georgia Tech,E
2666,Ogden Street Southwest,Atlanta University Center,T
2667,Foster Street Northwest,Blandtown,D
2668,Chipley Street Northeast,Edgewood,O
2669,Ensley Street Northeast,Old Fourth Ward,M
2670,Lambert Drive Northeast,Morningside/Lenox Park,F
2671,Rachael Street Southeast,Norwood Manor,Z
2672,Wilma Drive Northwest,West Highlands,G
2673,Veltre Terrace,Audobon Forest West,I
2674,Randall Mill Place Northwest,Mt. Paran/Northside,A
2675,New Hope Road Southwest,Midwest Cascade,Q
2676,Old Jonesboro Road Southwest,Hammond Park,X
2677,Raymond Street Southwest,Atlanta University Center,T
2678,3rd Street Northwest,Marietta Street Artery,E
2679,Arkwright Place Southeast,Edgewood,O
2680,Dodd Avenue Southwest,Mechanicsville,V
2681,Peachtree Drive Northeast,Peachtree Park,B
2682,Ontario Avenue Southwest,Westview,T
2683,Monument Avenue Southeast,Edgewood,O
2684,Fairfield Place Northwest,Florida Heights,I
2685,Deerborne Court Southwest,Ben Hill,P
2686,Campbellton Road Southwest,Venetian Hills,R
2687,Englewood Avenue Southeast,Chosewood Park,Y
2688,Bonair Street Southwest,Atlanta University Center,T
2689,Milton Street Southwest,Atlanta University Center,T
2690,Morosgo Place Northeast,Lindbergh/Morosgo,B
2691,Walthall Street Southeast,Reynoldstown,N
2692,Downtown Connector,Midtown,E
2693,Lynfield Drive Southwest,Green Forest Acres,I
2694,South Alvarado Terrace Southwest,Cascade Avenue/Road,S
2695,Alden Avenue Northwest,Brookwood,E
2696,Nelms Avenue Northeast,Lake Claire,N
2697,Burnt Hickory Drive Southwest,East Ardley Road,I
2698,Falls Drive,Mays,H
2699,Benteen Park Drive Southeast,Benteen Park,W
2700,Hills Place Northwest,Underwood Hills,D
2701,Doncaster Drive Northeast,Sherwood Forest,E
2702,Colorado Trail Southwest,Arlington Estates,P
2703,Pineland Road Northwest,Chastain Park,A
2704,Westview Drive Southwest,Harris Chiles,T
2705,Atlanta BeltLine Southside Trail,Chosewood Park,Y
2706,Beecher Road Southwest,Beecher Hills,I
2707,Newcastle Street Southwest,Ashview Heights,T
2708,Madrona Street Northwest,Grove Park,J
2709,Ridge Avenue Northwest,Carey Park,G
2710,Defoor Place Northwest,Underwood Hills,D
2711,Habershal Drive Northwest,Rockdale,G
2712,Prospect Place Northeast,Old Fourth Ward,M
2713,Regency Crest Drive Southwest,Midwest Cascade,Q
2714,BeltLine Access,Inman Park,N
2715,Hamilton Avenue Southeast,Boulevard Heights,W
2716,New Britain Drive Southwest,Midwest Cascade,Q
2717,Elm Street Southwest,Atlanta University Center,T
2718,Miller Reed Avenue Southeast,Chosewood Park,Y
2719,Howell Mill Road Northwest,Westminster/Milmar,C
2720,16th Street Northeast,Ansley Park,E
2721,Reeder Circle Northeast,Morningside/Lenox Park,F
2722,Regis Road Southeast,Leila Valley,Z
2723,Bill Kennedy Way,Ormewood Park,W
2724,Carmel Avenue Northeast,Inman Park,N
2725,Drew Drive,Rockdale,G
2726,Ard Place Northwest,Adamsville,H
2727,Barrow Place Southwest,Ben Hill Pines,P
2728,Ridge Valley Court Northwest,Margaret Mitchell,A
2729,Field Street Southeast,Reynoldstown,N
2730,Carnegie Way Northwest,Downtown,M
2731,Forrest Ridge Drive Northwest,Collier Heights,I
2732,Glen Devon Drive Northwest,Mt. Paran/Northside,A
2733,Saunders Street Northeast,Kirkwood,O
2734,Mill Acres Drive Southwest,Cascade Heights,I
2735,State Street Northwest,Atlantic Station,E
2736,Proctor Street Northwest,Bankhead,K
2737,Woodson Street Southeast,Grant Park,W
2738,Spreading Oak Drive Southwest,Green Forest Acres,I
2739,Byrere Terrace Southwest,Venetian Hills,S
2740,Langford Parkway,Southwest,R
2741,Harris Manor Drive Southwest,Chalet Woods,I
2742,Park Drive Northeast,Virginia Highland,F
2743,Providence Place,Mays,H
2744,River Green Drive Northwest,Paces,A
2745,Randall Court Northwest,Mt. Paran/Northside,A
2746,Broadland Court Northwest,Chastain Park,A
2747,Nolan Street Southeast,Chosewood Park,Y
2748,Gold Drive Southwest,Southwest,R
2749,Blanche Street Northwest,Grove Park,J
2750,Line Road Southwest,Fairburn Road/Wisteria Lane,H
2751,Jasper Street Southwest,Mozley Park,K
2752,Verdun Drive Northwest,Argonne Forest,C
2753,Barfield Avenue Southwest,Florida Heights,I
2754,Main Street Northwest,Riverside,D
2755,Tonawanda Drive Southeast,Browns Mill Park,Z
2756,Scottridge Drive Northwest,Harvel Homes Community,J
2757,Pete Street,Bolton Hills,G
2758,East Pharr Road,East Lake,O
2759,Fairlie Street,Downtown,M
2760,Fernwood Road Northwest,Channing Valley,C
2761,Benjamin E Mays Drive Southwest,Cascade Avenue/Road,S
2762,Booker Street Southwest,Joyland,Y
2763,Fraser Street Southeast,Peoplestown,V
2764,Conway Place Southeast,Summerhill,V
2765,Bungalow Lane,Rockdale,G
2766,Cordova Street Southwest,Oakland City,S
2767,Lindbergh Way NE,Lindbergh/Morosgo,B
2768,Peachtree Battle Avenue Northwest,Margaret Mitchell,A
2769,Litherland Court,South River Gardens,Z
2770,Pearl Street Southeast,Reynoldstown,N
2771,Eric Street Southeast,Chosewood Park,Y
2772,Marvin Street Northwest,Underwood Hills,D
2773,Cerro Street Southwest,Mozley Park,K
2774,Allen Lane Southeast,Orchard Knob,Z
2775,Lloyd Hall Court,Lakewood Heights,Y
2776,Collins Ridge Drive Northwest,Bolton,D
2777,Key Drive Southwest,Southwest,R
2778,Pine Canyon Drive Southwest,Greenbriar,R
2779,Ponce de Leon Avenue Northeast,Druid Hills,N
2780,Venus Place Northwest,Carroll Heights,H
2781,Milford Place,Cascade Green,P
2782,Lucy Street Southeast,Sweet Auburn,M
2783,Crane Road Northeast,Pine Hills,B
2784,Augusta Avenue Southeast,Grant Park,W
2785,James Jackson Parkway Northwest,Center Hill,J
2786,Brooks Avenue Northeast,Candler Park,N
2787,Thirkeld Avenue Southwest,South Atlanta,Y
2788,Westview PATH,Westview,T
2789,Bryan Street Southeast,Grant Park,W
2790,Arts Center Way Northeast,Midtown,E
2791,Welcome All Road,Ben Hill,P
2792,Blanton Road Northwest,Chastain Park,A
2793,Mitchell Street Southwest,Castleberry Hill,M
2794,Lakeview Avenue Northeast,Midtown,E
2795,Savannah Street Southeast,Cabbagetown,N
2796,Bonnie Brae Avenue Southwest,Adair Park,V
2797,Semel Circle,Brookwood,E
2798,Bishop Way Northeast,Old Fourth Ward,M
2799,Briarcliff Road Northeast,Virginia Highland,F
2800,Downs Drive Southwest,Adams Park,R
2801,Northside Drive Northwest,Peachtree Battle Alliance,C
2802,Etheridge Street Northwest,Bankhead,K
2803,Tufton Trail Southeast,Glenrose Heights,Z
2804,Southland Circle Northwest,Hills Park,D
2805,West Conway Drive Northwest,Mt. Paran/Northside,A
2806,Morris Brown Avenue Northwest,Dixie Hills,J
2807,Renault Road Southeast,Blair Villa/Poole Creek,Z
2808,Parker Street Northwest,Downtown,M
2809,Stephanie Drive Southwest,Deerwood,P
2810,Marietta Street Northwest,Georgia Tech,E
2811,Howell Place Southwest,West End,T
2812,Pryor Road Southwest,Lakewood Heights,Y
2813,Carver Circle Northwest,Dixie Hills,J
2814,Juniper Street Northeast,Downtown,M
2815,Hill Street Southeast,Peoplestown,V
2816,Poplar Street Northwest,Downtown,M
2817,Glenwood Avenue Southeast,The Villages at East Lake,O
2818,Brevard Avenue Southwest,Browns Mill Park,Z
2819,Hatcher Avenue Southwest,Peoplestown,V
2820,Electric Avenue Northwest,Vine City,L
2821,Parkside Drive Northeast,Peachtree Heights East,B
2822,Richland Road Southwest,Cascade Avenue/Road,S
2823,Club Place Southeast,East Lake,O
2824,Richards Street Northwest,Home Park,E
2825,Fairview Road Northeast,Druid Hills,N
2826,Memorial Drive Southeast,Oakland,W
2827,Cascade Road,Magnum Manor,I
2828,Springlake Court Northwest,Springlake,C
2829,Azlee Place Northwest,Collier Heights,I
2830,Connally Street Southeast,Peoplestown,V
2831,Southside Industrial Way Southeast,Blair Villa/Poole Creek,Z
2832,Mackenzie Drive Northeast,Old Fourth Ward,M
2833,Harvel Drive Northwest,Harvel Homes Community,J
2834,Golf View Road Northwest,Collier Hills North,C
2835,Benjamin Court Southwest,Fairburn Mays,H
2836,Trenton Street Southeast,Edgewood,O
2837,Kennedy Court Northwest,Center Hill,J
2838,Pickens Street Southeast,East Atlanta,W
2839,Meadowdale Avenue Northeast,Morningside/Lenox Park,F
2840,Christina Street Northwest,Grove Park,J
2841,Foundry Street Northwest,Vine City,L
2842,Velma Street Southeast,Thomasville Heights,Z
2843,Maple Street Northwest,English Avenue,L
2844,Chattahoochee Avenue Northwest,Berkeley Park,D
2845,West End Place Southwest,West End,T
2846,Careygate Drive Northwest,Wyngate,C
2847,Woodcliffe Terrace Northeast,Morningside/Lenox Park,F
2848,Robert Street Northwest,Center Hill,J
2849,Palatka Street Southeast,Kirkwood,O
2850,Alexander Street Northeast,Downtown,M
2851,Mayland Avenue Southwest,Pittsburgh,V
2852,Grape Street Northeast,Old Fourth Ward,M
2853,East Cedar Lane Southwest,Venetian Hills,S
2854,Diana Drive Southwest,Hammond Park,X
2855,Morris Brown Drive Southwest,Just Us,T
2856,Ewing Street Southwest,Fairburn,P
2857,Spring Street Northwest,Carey Park,G
2858,Morris Street Northwest,Berkeley Park,D
2859,Pine Ridge Road Northeast,Morningside/Lenox Park,F
2860,Stone Road Southwest,Ben Hill Forest,P
2861,Orleans Street Southeast,Grant Park,W
2862,Browntown Road Northwest,Scotts Crossing,G
2863,Perry Boulevard Northwest,Rockdale,G
2864,Stallings Avenue Southeast,East Atlanta,W
2865,Sarah M Hardin Drive Southwest,Venetian Hills,S
2866,Trabert Avenue Northwest,Berkeley Park,D
2867,Braeburn Drive Southeast,East Atlanta,W
2868,Camp Creek Parkway,Ben Hill,P
2869,Hampton Street Northwest,Marietta Street Artery,E
2870,Gaslight Lane Northwest,Dixie Hills,J
2871,Belvedere Drive Northwest,Springlake,C
2872,Gress Avenue Southeast,Grant Park,W
2873,Mathewson Place Southwest,Mozley Park,K
2874,Ralph David Abernathy Freeway,Castleberry Hill,M
2875,Rebel Forest Drive Southeast,Rebel Valley Forest,Z
2876,Harper Road Southeast,Swallow Circle/Baywood,Z
2877,Alloway Place Southeast,Ormewood Park,W
2878,Defoors Walk Northwest,Underwood Hills,D
2879,Chattahoochee Avenue Northwest,Blandtown,D
2880,Copenhill Avenue Northeast,Inman Park,N
2881,Polar Rock Drive Southwest,Polar Rock,Z
2882,Auburn Pointe Drive Southeast,Sweet Auburn,M
2883,Connally Avenue Southwest,Oakland City,S
2884,Downtown Connector,Summerhill,V
2885,Southside Park MTB - Oak Trail,South River Gardens,Z
2886,Tacoma Drive Northwest,Blandtown,D
2887,Linda Lane Southeast,Browns Mill Park,Z
2888,Arthur Langford Junior Place SW,High Point,Y
2889,Elliott Circle Northeast,Peachtree Park,B
2890,Wright Avenue Northeast,Lenox,B
2891,Donald Lee Hollowell Parkway Northwest,Atlanta Industrial Park,G
2892,Hapeville Road Southwest,Glenrose Heights,Z
2893,Chadwick Road Southwest,Ben Hill Terrace,P
2894,Hope Drive Southwest,Sylvan Hills,X
2895,Colgan Court,East Lake,O
2896,Finley Avenue Northwest,Bankhead,K
2897,Edie Avenue Southeast,Boulevard Heights,W
2898,Sylvan Place Southwest,Sylvan Hills,X
2899,Marcus Street Southeast,Reynoldstown,N
2900,Parkview Run Northwest,Bolton,D
2901,Gilbert Street Southeast,Ormewood Park,W
2902,Cave Road Northwest,Mt. Paran/Northside,A
2903,Fortune Place Northeast,Old Fourth Ward,M
2904,Mentelle Drive Northeast,Midtown,E
2905,Jonesboro Road Southeast,Norwood Manor,Z
2906,Garrison Way,Whittier Mill Village,D
2907,Cummings Drive Southwest,Venetian Hills,S
2908,4th Avenue Southeast,East Lake,O
2909,Waits Avenue Southwest,Fairburn,P
2910,Habersham Road Northwest,Peachtree Battle Alliance,C
2911,Willis Mill Road Southwest,Cascade Heights,I
2912,United Avenue Southeast,Woodland Hills,W
2913,Fontaine Avenue Southwest,Adams Park,R
2914,Campbellton Road,Arlington Estates,P
2915,Blair Villa Drive Southeast,Blair Villa/Poole Creek,Z
2916,Scruggs Court Northeast,Edgewood,O
2917,East Lake Boulevard,The Villages at East Lake,O
2918,Brighton Road Northeast,Brookwood Hills,E
2919,Niskey Cove Road Southwest,Niskey Cove,P
2920,Lois Street Northwest,Rockdale,G
2921,Underwood Avenue Southeast,Ormewood Park,W
2922,Eulalia Road Northeast,Ridgedale Park,B
2923,Broyles Street Southeast,Grant Park,W
2924,Selman Street Southeast,Reynoldstown,N
2925,Fowler Street Northeast,Kirkwood,O
2926,Langford Parkway,Polar Rock,Z
2927,Todd Road Northeast,Virginia Highland,F
2928,Logan Street Southeast,Grant Park,W
2929,West Wesley Road,Peachtree Heights West,B
2930,Whitehall Street Southwest,Pittsburgh,V
2931,Barge Road Southwest,Ben Hill Pines,P
2932,Lakewood Avenue,Lakewood Heights,Y
2933,South Ponce de Leon Avenue Northeast,Druid Hills,N
2934,Lionel Hampton PATH Trail,Vine City,L
2935,Ralph McGill Boulevard,Downtown,M
2936,Embry Way Southeast,Glenrose Heights,Z
2937,North Grand Avenue Northwest,Center Hill,J
2938,Honour Circle Northwest,Tuxedo Park,A
2939,Pollard Drive Southwest,Adams Park,R
2940,Baker Drive Southwest,Glenrose Heights,Z
2941,Johnson Road Northeast,Morningside/Lenox Park,F
2942,Booker Street Northwest,Washington Park,K
2943,Simca Street Southeast,Blair Villa/Poole Creek,Z
2944,Jay Place Southeast,Swallow Circle/Baywood,Z
2945,Murphy Avenue Southwest,Oakland City,S
2946,Kathryn Drive Southwest,Deerwood,P
2947,Ridgewood Road Northwest,Paces,A
2948,Haverhill Drive Northeast,North Buckhead,B
2949,Bolton Place Northwest,Carroll Heights,H
2950,Sutton Street Southeast,Kirkwood,O
2951,Melvin Drive Southwest,Kings Forest,P
2952,Bankhead Avenue Northwest,English Avenue,L
2953,Plainville Circle Southwest,Boulder Park,H
2954,Crogman Street Southeast,South Atlanta,Y
2955,Mill Acres Drive Southwest,Adams Park,R
2956,Lenardo Drive Southwest,Mt. Gilead Woods,P
2957,Laquita Drive Southeast,Lakewood Heights,Y
2958,Valley View Road Southeast,Leila Valley,Z
2959,Knob Hill Court Southeast,Custer/McDonough/Guice,W
2960,Spence Avenue Southeast,East Lake,O
2961,Stratford Park Drive,North Buckhead,B
2962,Battlefield Avenue Southeast,Edgewood,O
2963,Plainville Court Southwest,Wildwood (NPU-H),H
2964,Moreland Avenue Southeast,Thomasville Heights,Z
2965,Plymouth Road Northwest,Hills Park,D
2966,Bradley Street Northeast,Old Fourth Ward,M
2967,Inman Village Parkway Northeast,Inman Park,N
2968,Arthur Street Southwest,Pittsburgh,V
2969,Windsor Street Southwest,Castleberry Hill,M
2970,Porsche Drive,Blair Villa/Poole Creek,Z
2971,Jackson Way,Lincoln Homes,G
2972,Noel Street Northwest,West Highlands,G
2973,Waits Drive Southwest,Wilson Mill Meadows,H
2974,Garfield Way Southeast,South River Gardens,Z
2975,Hall Street Northwest,Almond Park,G
2976,Powers Ferry Road Northwest,East Chastain Park,B
2977,Stovall Boulevard Northeast,Brookhaven,B
2978,Martina Drive Northeast,Peachtree Park,B
2979,Land O Lakes Drive Northeast,North Buckhead,B
2980,West Club Lane Northeast,Brookhaven,B
2981,Merlin Avenue Southeast,Edgewood,O
2982,East Lake Drive Northeast,East Lake,O
2983,Sims Avenue Northeast,Buckhead Heights,B
2984,Pryor Street,Joyland,Y
2985,James Jackson Parkway Northwest,Brookview Heights,G
2986,Delowe Drive,Campbellton Road,R
2987,Natham Drive Southeast,Rebel Valley Forest,Z
2988,Old Georgian Terrace,Whittier Mill Village,D
2989,Haas Avenue Southeast,East Atlanta,W
2990,Eloise Street Southeast,Grant Park,W
2991,Winfield Avenue Southeast,East Atlanta,W
2992,Wallace Street Northwest,Marietta Street Artery,E
2993,Forrest Circle Southeast,South River Gardens,Z
2994,14th Street Northwest,Midtown,E
2995,Princeton Place Southwest,Baker Hills,H
2996,Hanford Drive Southwest,Perkerson,X
2997,Wanda Circle Southwest,Hammond Park,X
2998,Summer Lane,Mt. Paran/Northside,A
2999,Niskey Lake Road Southwest,Niskey Cove,P
3000,Laurel Avenue Northwest,Hills Park,D
3001,Huntington Road Northeast,Brookwood Hills,E
3002,Conway Glen Drive Northwest,Mt. Paran/Northside,A
3003,Bakers Ferry Road Southwest,Bakers Ferry,H
3004,Louise Place Northwest,Grove Park,J
3005,Wheeler Street Northwest,English Avenue,L
3006,Sherrie Lane Southwest,Greenbriar Village,P
3007,Marietta Road Northwest,Bolton,D
3008,Lakewood Trail,Lakewood,Z
3009,Moray Street Southwest,Venetian Hills,S
3010,Campbellton Road,Fairburn,P
3011,Chicamauga Place Southwest,Mozley Park,K
3012,Peachtree Battle Avenue Northwest,Wesley Battle,C
3013,West Paces Ferry Road Northwest,Kingswood,A
3014,Beaverbrook Drive Northwest,Wildwood (NPU-C),C
3015,Bromack Drive Southeast,Swallow Circle/Baywood,Z
3016,Ralph David Abernathy Freeway,West End,T
3017,Browns Mill Road,Blair Villa/Poole Creek,Z
3018,Terminus Place,North Buckhead,B
3019,Meadow Park Drive Southwest,Browns Mill Park,Z
3020,Wadsworth Drive Northwest,Wildwood (NPU-C),C
3021,Etheridge Court Apts,Carey Park,G
3022,Amherst Place Northwest,Cross Creek,C
3023,West Simon Terrace Northwest,Collier Heights,I
3024,Thomas Road Northwest,Riverside,D
3025,The By Way Northeast,Druid Hills,N
3026,East Pine Valley Road Northwest,Arden/Habersham,C
3027,Cloudland Drive Northwest,Pleasant Hill,A
3028,Briarcliff Court Northeast,Virginia Highland,F
3029,East Simon Terrace Northwest,Collier Heights,I
3030,Lannon Avenue Northeast,East Lake,O
3031,Lanier Boulevard Northeast,Morningside/Lenox Park,F
3032,Tuckawanna Drive Southwest,Audobon Forest West,I
3033,Sahara Drive Southwest,Fairway Acres,P
3034,Hamilton Street,Ormewood Park,W
3035,Oakridge Avenue Northeast,East Lake,O
3036,New Jersey Avenue Northwest,Dixie Hills,J
3037,Gilbert Trail Northeast,Old Fourth Ward,M
3038,Bluff Street Southwest,Adair Park,V
3039,Pylant Street Northeast,Virginia Highland,F
3040,Villa Circle Southeast,Blair Villa/Poole Creek,Z
3041,Hale Street Northeast,Inman Park,N
3042,Gardenia Street Northwest,Hunter Hills,K
3043,Laurens Circle Southwest,Laurens Valley,R
3044,Tara Circle Southeast,South River Gardens,Z
3045,Atlanta BeltLine Westside Interim Hiking Trail,West End,T
3046,Lynhurst Drive Southwest,Ivan Hill,I
3047,East Court Drive Southwest,Midwest Cascade,Q
3048,Lynfield Drive Southwest,West Manor,I
3049,Delmar Avenue Southeast,Ormewood Park,W
3050,Braemar Avenue Southwest,East Ardley Road,I
3051,Walthall Drive Northwest,Collier Hills,C
3052,Valleydale Drive Southwest,Magnum Manor,I
3053,Emma Lane Northeast,North Buckhead,B
3054,Winall Down Road Northeast,Brookhaven,B
3055,Westshire Place Northwest,Home Park,E
3056,Chalmers Drive Northwest,Collier Heights,I
3057,Hemphill School Road Northwest,Adamsville,H
3058,Elliott Street Southwest,Castleberry Hill,M
3059,Valley Heart Drive Northwest,Collier Heights,I
3060,Mifflin Place Northeast,Morningside/Lenox Park,F
3061,Northside Drive Northwest,Collier Hills,C
3062,Pine Street Southeast,Old Fourth Ward,M
3063,Irwin Place,Old Fourth Ward,M
3064,Bender Street Southwest,Pittsburgh,V
3065,Yorkshire Road Northeast,Morningside/Lenox Park,F
3066,Lake Forrest Drive Northeast,East Chastain Park,A
3067,Monterey Drive Northwest,Springlake,C
3068,Bayberry Drive Southwest,Venetian Hills,S
3069,Burns Drive Southwest,Sylvan Hills,X
3070,Lakeridge Circle Southwest,Lake Estates,P
3071,Parker Avenue Southeast,East Lake,O
3072,6th Street NW,Midtown,E
3073,Postell Street Northwest,Vine City,L
3074,Lake Cove Drive Southwest,Niskey Cove,P
3075,Glenlocke Grove Court Northwest,Monroe Heights,G
3076,Godfrey Drive Northwest,Collier Heights,I
3077,Windsor Street Southwest,Downtown,M
3078,Tilson Drive Southeast,East Lake,O
3079,Jones Avenue Northwest,West Highlands,G
3080,Elixir Avenue Southwest,Mozley Park,K
3081,Kilburn Drive Northeast,Piedmont Heights,F
3082,Snyder Street Northwest,Home Park,E
3083,Canter Road Northeast,Pine Hills,B
3084,Oakdale Street Northwest,Riverside,D
3085,Vinson Place Southwest,Perkerson,X
3086,Beech Valley Way Northeast,Morningside/Lenox Park,F
3087,Belfast Street Southwest,Sylvan Hills,X
3088,Ardmore Circle Northwest,Ardmore,E
3089,Maywood Place Northwest,Grove Park,J
3090,Josephine Street Northeast,Candler Park,N
3091,Hill Acres Road Southwest,Kings Forest,P
3092,Marco Drive Northwest,Lincoln Homes,G
3093,Bass Street Southeast,Grant Park,W
3094,Guilford Forest Drive Southwest,Midwest Cascade,Q
3095,Lakehaven Drive Northeast,Brookhaven,B
3096,Haldane Drive Southwest,Peyton Forest,I
3097,Flagstone Drive Southwest,Wildwood (NPU-H),H
3098,Verbena Circle,Dixie Hills,J
3099,10th Street Northwest,English Avenue,L
3100,Perimeter,Bankhead/Bolton,H
3101,Camfield Court Southwest,Florida Heights,I
3102,Pinella Drive Southwest,Lake Estates,P
3103,Smith Street Northwest,Riverside,D
3104,Sandbrook Court Southwest,Sandlewood Estates,P
3105,Robin Hood Road Northeast,Sherwood Forest,E
3106,Rux Road Southwest,Kings Forest,P
3107,Hogue Street Northeast,Old Fourth Ward,M
3108,Wood Trail,Bolton,D
3109,Glenwood Drive Northeast,Peachtree Hills,B
3110,5th Street Northwest,Carey Park,G
3111,Northern Street Northeast,East Lake,O
3112,Tyler Street Northwest,Vine City,L
3113,Jetal Place Northwest,Grove Park,J
3114,Addington Street Southwest,Florida Heights,I
3115,Avery Road Southwest,Perkerson,X
3116,Tylerton Drive Southwest,Southwest,R
3117,Fairburn Road Southwest,Cascade Green,P
3118,Sandtown Road Southwest,Adams Park,R
3119,Tall Pines Drive Northwest,Chastain Park,A
3120,Mount Paran Road Northwest,Pleasant Hill,A
3121,East Conway Drive Northwest,Chastain Park,A
3122,Roxboro Pointe Northeast,Pine Hills,B
3123,Wendell Drive Southeast,Browns Mill Park,Z
3124,Branch Drive Southwest,Fairburn Road/Wisteria Lane,H
3125,Winfield Court Soiuthwest,Cascade Green,P
3126,Sidney Marcus Boulevard Northeast,Pine Hills,B
3127,Denville Trace,Cascade Green,P
3128,17th Street NW,Midtown,E
3129,North Garden Lane Northwest,Loring Heights,E
3130,Nathan Road Southwest,Adamsville,H
3131,Valley Ridge Terrace Southwest,Heritage Valley,P
3132,Northside Drive Northwest,Marietta Street Artery,E
3133,Jefferson Hill Place Northeast,East Chastain Park,B
3134,Daniel Road Southwest,Fairburn,P
3135,Telfair Lane Southwest,Campbellton Road,R
3136,Old Wheat Street Northeast,Sweet Auburn,M
3137,Middleton Street Southwest,The Villages at Carver,Y
3138,Dorsey Street Southwest,Oakland City,S
3139,Dickson Place Northeast,Midtown,E
3140,Northrope Drive Northeast,Lindridge/Martin Manor,F
3141,Cain Street Northeast,Sweet Auburn,M
3142,Bellingrath Avenue Northwest,Home Park,E
3143,Mobley Court Southeast,Browns Mill Park,Z
3144,Cherry Laurel Lane Southwest,Greenbriar,R
3145,Village Crest Drive,Whittier Mill Village,D
3146,Grandview Avenue Northeast,Garden Hills,B
3147,Vanderbilt Court Northwest,Collier Heights,I
3148,Barksdale Drive Northeast,Ansley Park,E
3149,Northside Drive Northwest,Tuxedo Park,A
3150,Valley Green Drive Northeast,North Buckhead,B
3151,Graymont Drive Southwest,Oakland City,S
3152,Milton Avenue Southeast,Peoplestown,V
3153,Ponce de Leon Avenue Northeast,Atkins Park,F
3154,Clark Place Northwest,Grove Park,J
3155,Aurora Avenue Northwest,Dixie Hills,J
3156,Lakeview Avenue Northeast,Peachtree Heights East,B
3157,North Ivy Road Northeast,North Buckhead,B
3158,Hawthorne Street Northeast,Reynoldstown,N
3159,Boulder Park Drive Southwest,Fairburn Road/Wisteria Lane,H
3160,Sunset Avenue Northwest,Atlanta University Center,T
3161,Tye Street Southeast,Cabbagetown,N
3162,Paul Avenue Northwest,Riverside,D
3163,Macedonia Road Southeast,Blair Villa/Poole Creek,Z
3164,Gaberonne Court Northeast,Pine Hills,B
3165,Brookview Drive Northwest,Wildwood (NPU-C),C
3166,Kingston Road Northwest,Collier Heights,I
3167,Ralph David Abernathy Freeway,Grant Park,W
3168,Dekalb Avenue,Inman Park,N
